Latitude (decimal degrees):	3.041
Longitude (decimal degrees):	31.053
Elevation (m):	899
Radiation database:	PVGIS-SARAH2


Slope: 5 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190105:0006,0.0,0.0,0.0,24.19,1.03,0.0
20190105:0106,0.0,0.0,0.0,24.16,0.97,0.0
20190105:0206,0.0,0.0,0.0,24.75,0.69,0.0
20190105:0306,0.0,0.0,0.0,24.54,0.69,0.0
20190105:0406,0.0,0.0,0.0,24.46,0.62,0.0
20190105:0506,140.07,208.11,13.83,24.64,0.34,0.0
20190105:0606,356.66,473.95,27.33,26.63,0.97,0.0
20190105:0706,527.19,695.26,40.28,28.66,2.28,0.0
20190105:0806,650.51,868.12,52.05,30.67,3.38,0.0
20190105:0906,711.42,960.98,61.08,32.04,3.86,0.0
20190105:1006,716.59,974.92,64.31,33.12,3.93,0.0
20190105:1106,662.08,896.7,59.78,33.53,3.93,0.0
20190105:1206,524.98,704.01,50.07,33.74,3.72,0.0
20190105:1306,418.91,559.7,38.01,34.0,3.59,0.0
20190105:1406,279.26,381.82,24.93,33.8,3.03,0.0
20190105:1506,95.47,156.05,11.37,33.38,3.03,0.0
20190105:1606,0.0,0.0,0.0,32.0,2.9,0.0
20190105:1706,0.0,0.0,0.0,30.38,2.62,0.0
20190105:1806,0.0,0.0,0.0,29.08,2.34,0.0
20190105:1906,0.0,0.0,0.0,28.32,1.93,0.0
20190105:2006,0.0,0.0,0.0,27.3,1.66,0.0
20190105:2106,0.0,0.0,0.0,26.04,1.24,0.0
20190105:2206,0.0,0.0,0.0,27.73,0.69,0.0
20190105:2306,0.0,0.0,0.0,27.5,0.55,0.0
20190106:0006,0.0,0.0,0.0,27.03,0.76,0.0
20190106:0106,0.0,0.0,0.0,24.13,1.45,0.0
20190106:0206,0.0,0.0,0.0,22.4,1.59,0.0
20190106:0306,0.0,0.0,0.0,21.78,1.79,0.0
20190106:0406,0.0,0.0,0.0,21.08,1.72,0.0
20190106:0506,134.08,194.8,13.75,21.79,1.24,0.0
20190106:0606,369.33,492.12,27.27,26.49,0.76,0.0
20190106:0706,518.01,707.92,40.24,29.45,0.28,0.0
20190106:0806,644.57,882.72,52.04,31.64,1.93,0.0
20190106:0906,719.93,993.84,61.14,32.94,2.76,0.0
20190106:1006,739.69,1032.52,64.43,34.38,2.83,0.0
20190106:1106,698.27,973.21,59.93,35.25,2.76,0.0
20190106:1206,621.04,854.29,50.22,35.92,2.97,0.0
20190106:1306,495.06,672.61,38.15,36.31,3.1,0.0
20190106:1406,311.9,430.57,25.06,35.84,2.97,0.0
20190106:1506,99.96,164.54,11.48,35.13,2.76,0.0
20190106:1606,0.0,0.0,0.0,33.72,1.93,0.0
20190106:1706,0.0,0.0,0.0,32.35,1.31,0.0
20190106:1806,0.0,0.0,0.0,30.66,1.38,0.0
20190106:1906,0.0,0.0,0.0,28.23,3.03,0.0
20190106:2006,0.0,0.0,0.0,27.15,3.1,0.0
20190106:2106,0.0,0.0,0.0,26.47,2.55,0.0
20190106:2206,0.0,0.0,0.0,25.98,1.93,0.0
20190106:2306,0.0,0.0,0.0,25.36,1.79,0.0
20190107:0006,0.0,0.0,0.0,24.66,1.72,0.0
20190107:0106,0.0,0.0,0.0,24.02,1.66,0.0
20190107:0206,0.0,0.0,0.0,23.18,1.79,0.0
20190107:0306,0.0,0.0,0.0,22.47,1.72,0.0
20190107:0406,0.0,0.0,0.0,21.65,1.66,0.0
20190107:0506,137.23,200.48,13.68,21.97,1.31,0.0
20190107:0606,342.48,451.61,27.21,26.05,1.45,0.0
20190107:0706,511.88,678.06,40.21,28.99,2.0,0.0
20190107:0806,601.3,812.71,52.04,31.08,2.28,0.0
20190107:0906,615.29,838.17,61.2,32.23,2.62,0.0
20190107:1006,538.74,729.66,64.55,33.23,3.17,0.0
20190107:1106,111.67,161.73,60.09,33.17,3.38,0.0
20190107:1206,614.1,831.32,50.37,33.28,3.03,0.0
20190107:1306,488.41,654.64,38.29,33.68,3.03,0.0
20190107:1406,306.75,418.63,25.18,33.73,3.03,0.0
20190107:1506,103.13,168.25,11.6,33.37,2.76,0.0
20190107:1606,0.0,0.0,0.0,32.33,2.28,0.0
20190107:1706,0.0,0.0,0.0,31.38,2.0,0.0
20190107:1806,0.0,0.0,0.0,30.17,1.59,0.0
20190107:1906,0.0,0.0,0.0,28.44,1.66,0.0
20190107:2006,0.0,0.0,0.0,27.05,2.0,0.0
20190107:2106,0.0,0.0,0.0,25.45,2.14,0.0
20190107:2206,0.0,0.0,0.0,24.43,2.21,0.0
20190107:2306,0.0,0.0,0.0,23.7,2.28,0.0
20190108:0006,0.0,0.0,0.0,23.12,2.34,0.0
20190108:0106,0.0,0.0,0.0,22.71,2.41,0.0
20190108:0206,0.0,0.0,0.0,22.25,2.28,0.0
20190108:0306,0.0,0.0,0.0,21.73,2.14,0.0
20190108:0406,0.0,0.0,0.0,21.12,1.86,0.0
20190108:0506,126.62,183.81,13.6,21.21,1.31,0.0
20190108:0606,324.84,429.26,27.16,25.23,0.76,0.0
20190108:0706,492.33,661.16,40.18,28.07,0.62,0.0
20190108:0806,619.47,842.24,52.05,30.5,1.79,0.0
20190108:0906,705.59,966.69,61.26,31.97,2.76,0.0
20190108:1006,727.16,1006.43,64.69,33.02,2.76,0.0
20190108:1106,689.02,954.52,60.25,33.65,2.48,0.0
20190108:1206,614.05,844.04,50.52,34.22,2.28,0.0
20190108:1306,484.8,656.53,38.43,34.4,2.34,0.0
20190108:1406,307.67,421.57,25.31,34.07,2.55,0.0
20190108:1506,103.9,169.01,11.71,33.29,2.41,0.0
20190108:1606,0.0,0.0,0.0,32.16,2.0,0.0
20190108:1706,0.0,0.0,0.0,30.72,1.93,0.0
20190108:1806,0.0,0.0,0.0,29.55,2.07,0.0
20190108:1906,0.0,0.0,0.0,28.4,1.24,0.0
20190108:2006,0.0,0.0,0.0,26.66,1.45,0.0
20190108:2106,0.0,0.0,0.0,24.82,1.66,0.0
20190108:2206,0.0,0.0,0.0,23.63,2.0,0.0
20190108:2306,0.0,0.0,0.0,22.33,1.93,0.0
20190109:0006,0.0,0.0,0.0,21.13,1.72,0.0
20190109:0106,0.0,0.0,0.0,20.16,1.59,0.0
20190109:0206,0.0,0.0,0.0,19.67,1.52,0.0
20190109:0306,0.0,0.0,0.0,19.25,1.59,0.0
20190109:0406,0.0,0.0,0.0,18.87,1.59,0.0
20190109:0506,128.37,186.52,13.53,20.75,1.03,0.0
20190109:0606,334.55,443.04,27.1,25.41,0.69,0.0
20190109:0706,501.1,674.21,40.15,28.44,0.69,0.0
20190109:0806,621.33,858.26,52.06,30.94,1.1,0.0
20190109:0906,700.72,980.25,61.33,32.67,1.79,0.0
20190109:1006,725.62,1019.95,64.83,33.52,2.07,0.0
20190109:1106,693.4,969.1,60.42,34.19,2.21,0.0
20190109:1206,607.25,832.49,50.68,34.12,2.41,0.0
20190109:1306,495.63,668.16,38.57,33.51,2.41,0.0
20190109:1406,318.62,435.03,25.44,33.17,2.34,0.0
20190109:1506,106.57,172.19,11.82,32.61,2.21,0.0
20190109:1606,0.0,0.0,0.0,31.78,1.66,0.0
20190109:1706,0.0,0.0,0.0,30.7,0.9,0.0
20190109:1806,0.0,0.0,0.0,30.0,0.41,0.0
20190109:1906,0.0,0.0,0.0,28.96,0.97,0.0
20190109:2006,0.0,0.0,0.0,26.09,2.14,0.0
20190109:2106,0.0,0.0,0.0,23.9,1.86,0.0
20190109:2206,0.0,0.0,0.0,22.56,1.79,0.0
20190109:2306,0.0,0.0,0.0,21.63,1.79,0.0
20190110:0006,0.0,0.0,0.0,20.72,1.79,0.0
20190110:0106,0.0,0.0,0.0,20.0,1.72,0.0
20190110:0206,0.0,0.0,0.0,19.34,1.72,0.0
20190110:0306,0.0,0.0,0.0,18.81,1.72,0.0
20190110:0406,0.0,0.0,0.0,18.43,1.72,0.0
20190110:0506,54.94,84.42,13.46,20.01,1.31,0.0
20190110:0606,196.5,263.98,27.05,25.51,0.48,0.0
20190110:0706,352.65,475.02,40.13,29.29,0.28,0.0
20190110:0806,623.06,864.7,52.08,31.77,1.1,0.0
20190110:0906,700.44,981.24,61.41,33.47,1.93,0.0
20190110:1006,727.16,1022.97,64.98,34.36,2.28,0.0
20190110:1106,688.59,965.69,60.59,34.73,2.14,0.0
20190110:1206,618.54,855.23,50.84,35.16,2.28,0.0
20190110:1306,492.42,671.17,38.71,35.38,2.28,0.0
20190110:1406,313.6,432.29,25.56,34.98,2.21,0.0
20190110:1506,106.26,173.1,11.94,34.33,1.72,0.0
20190110:1606,0.0,0.0,0.0,33.22,0.62,0.0
20190110:1706,0.0,0.0,0.0,32.15,0.41,0.0
20190110:1806,0.0,0.0,0.0,30.71,1.03,0.0
20190110:1906,0.0,0.0,0.0,29.55,1.38,0.0
20190110:2006,0.0,0.0,0.0,28.05,1.24,0.0
20190110:2106,0.0,0.0,0.0,27.25,1.17,0.0
20190110:2206,0.0,0.0,0.0,26.34,1.59,0.0
20190110:2306,0.0,0.0,0.0,25.74,1.72,0.0
20190111:0006,0.0,0.0,0.0,24.86,1.59,0.0
20190111:0106,0.0,0.0,0.0,24.13,1.59,0.0
20190111:0206,0.0,0.0,0.0,23.45,1.52,0.0
20190111:0306,0.0,0.0,0.0,22.81,1.52,0.0
20190111:0406,0.0,0.0,0.0,22.4,1.45,0.0
20190111:0506,131.53,194.84,13.4,23.15,1.03,0.0
20190111:0606,338.66,452.52,27.01,25.95,0.21,0.0
20190111:0706,499.74,681.87,40.11,29.12,0.14,0.0
20190111:0806,621.57,864.5,52.1,31.94,1.03,0.0
20190111:0906,703.69,983.06,61.5,33.57,2.14,0.0
20190111:1006,724.53,1012.96,65.13,34.4,2.62,0.0
20190111:1106,679.79,945.79,60.77,34.72,2.55,0.0
20190111:1206,619.53,857.05,51.0,35.04,2.21,0.0
20190111:1306,442.71,603.45,38.86,35.06,1.93,0.0
20190111:1406,311.56,429.43,25.69,34.67,1.93,0.0
20190111:1506,70.94,114.53,12.05,34.3,2.21,0.0
20190111:1606,0.0,0.0,0.0,33.25,1.72,0.0
20190111:1706,0.0,0.0,0.0,31.69,1.59,0.0
20190111:1806,0.0,0.0,0.0,30.52,1.79,0.0
20190111:1906,0.0,0.0,0.0,29.32,1.79,0.0
20190111:2006,0.0,0.0,0.0,27.97,1.72,0.0
20190111:2106,0.0,0.0,0.0,26.32,1.66,0.0
20190111:2206,0.0,0.0,0.0,26.22,1.17,0.0
20190111:2306,0.0,0.0,0.0,27.54,0.41,0.0
20190112:0006,0.0,0.0,0.0,27.32,0.48,0.0
20190112:0106,0.0,0.0,0.0,26.93,0.69,0.0
20190112:0206,0.0,0.0,0.0,25.38,1.17,0.0
20190112:0306,0.0,0.0,0.0,22.73,1.52,0.0
20190112:0406,0.0,0.0,0.0,21.6,1.59,0.0
20190112:0506,136.32,201.18,13.34,22.1,1.31,0.0
20190112:0606,344.85,456.8,26.96,26.24,1.17,0.0
20190112:0706,524.05,693.59,40.09,29.37,2.34,0.0
20190112:0806,651.79,879.16,52.12,31.52,2.97,0.0
20190112:0906,722.37,993.26,61.59,33.25,3.17,0.0
20190112:1006,737.44,1029.57,65.3,34.57,2.9,0.0
20190112:1106,698.89,979.74,60.95,35.55,2.55,0.0
20190112:1206,619.26,858.49,51.17,36.23,2.55,0.0
20190112:1306,484.99,663.25,39.0,36.56,2.55,0.0
20190112:1406,307.57,426.26,25.81,36.33,2.28,0.0
20190112:1506,107.28,173.96,12.16,35.75,2.14,0.0
20190112:1606,0.0,0.0,0.0,34.34,1.72,0.0
20190112:1706,0.0,0.0,0.0,32.59,2.0,0.0
20190112:1806,0.0,0.0,0.0,31.03,2.14,0.0
20190112:1906,0.0,0.0,0.0,30.12,1.59,0.0
20190112:2006,0.0,0.0,0.0,28.15,1.66,0.0
20190112:2106,0.0,0.0,0.0,26.46,1.93,0.0
20190112:2206,0.0,0.0,0.0,24.98,1.93,0.0
20190112:2306,0.0,0.0,0.0,25.55,1.24,0.0
20190113:0006,0.0,0.0,0.0,27.15,0.55,0.0
20190113:0106,0.0,0.0,0.0,26.9,0.83,0.0
20190113:0206,0.0,0.0,0.0,22.5,1.86,0.0
20190113:0306,0.0,0.0,0.0,19.76,1.93,0.0
20190113:0406,0.0,0.0,0.0,18.44,1.86,0.0
20190113:0506,143.71,210.11,13.27,19.53,1.45,0.0
20190113:0606,351.23,469.23,26.93,26.82,0.69,0.0
20190113:0706,528.39,703.14,40.08,29.52,2.0,0.0
20190113:0806,651.85,881.9,52.15,31.48,2.76,0.0
20190113:0906,727.6,1003.43,61.68,33.02,2.97,0.0
20190113:1006,747.11,1046.13,65.47,34.36,2.76,0.0
20190113:1106,709.2,996.32,61.13,35.38,2.48,0.0
20190113:1206,626.55,873.07,51.33,36.0,2.21,0.0
20190113:1306,498.24,684.76,39.15,36.26,2.07,0.0
20190113:1406,320.66,444.15,25.94,36.07,2.14,0.0
20190113:1506,116.51,188.97,12.27,35.42,2.14,0.0
20190113:1606,0.0,0.0,0.0,33.88,1.59,0.0
20190113:1706,0.0,0.0,0.0,32.31,1.72,0.0
20190113:1806,0.0,0.0,0.0,31.11,1.86,0.0
20190113:1906,0.0,0.0,0.0,29.34,1.31,0.0
20190113:2006,0.0,0.0,0.0,27.28,1.66,0.0
20190113:2106,0.0,0.0,0.0,25.47,1.72,0.0
20190113:2206,0.0,0.0,0.0,25.6,0.69,0.0
20190113:2306,0.0,0.0,0.0,25.08,0.41,0.0
20190114:0006,0.0,0.0,0.0,22.55,1.86,0.0
20190114:0106,0.0,0.0,0.0,20.65,1.93,0.0
20190114:0206,0.0,0.0,0.0,19.52,1.86,0.0
20190114:0306,0.0,0.0,0.0,18.59,1.86,0.0
20190114:0406,0.0,0.0,0.0,17.93,1.79,0.0
20190114:0506,146.54,216.03,13.22,19.44,1.38,0.0
20190114:0606,343.77,459.05,26.89,26.32,0.48,0.0
20190114:0706,520.78,694.39,40.07,29.58,1.79,0.0
20190114:0806,649.5,877.57,52.19,31.72,2.9,0.0
20190114:0906,722.53,992.68,61.79,33.29,3.24,0.0
20190114:1006,743.2,1036.39,65.64,34.62,3.03,0.0
20190114:1106,704.03,986.58,61.33,35.57,2.62,0.0
20190114:1206,623.64,865.36,51.5,36.14,2.48,0.0
20190114:1306,478.02,654.54,39.29,36.15,2.21,0.0
20190114:1406,285.53,394.88,26.07,35.84,2.14,0.0
20190114:1506,112.81,182.07,12.38,35.16,1.86,0.0
20190114:1606,0.0,0.0,0.0,33.9,0.83,0.0
20190114:1706,0.0,0.0,0.0,32.61,0.76,0.0
20190114:1806,0.0,0.0,0.0,30.57,1.03,0.0
20190114:1906,0.0,0.0,0.0,28.95,1.24,0.0
20190114:2006,0.0,0.0,0.0,27.75,2.14,0.0
20190114:2106,0.0,0.0,0.0,26.36,2.14,0.0
20190114:2206,0.0,0.0,0.0,25.95,3.03,0.0
20190114:2306,0.0,0.0,0.0,25.6,3.1,0.0
20190115:0006,0.0,0.0,0.0,24.91,2.48,0.0
20190115:0106,0.0,0.0,0.0,24.07,1.72,0.0
20190115:0206,0.0,0.0,0.0,23.63,2.0,0.0
20190115:0306,0.0,0.0,0.0,22.91,2.14,0.0
20190115:0406,0.0,0.0,0.0,22.51,2.28,0.0
20190115:0506,129.03,191.43,13.16,22.95,2.28,0.0
20190115:0606,339.66,443.01,26.86,25.48,2.76,0.0
20190115:0706,514.0,676.76,40.07,27.82,2.0,0.0
20190115:0806,621.84,855.94,52.23,30.38,1.1,0.0
20190115:0906,677.52,963.62,61.9,32.35,0.83,0.0
20190115:1006,599.01,834.03,65.82,32.88,1.45,0.0
20190115:1106,431.75,591.02,61.52,33.7,1.66,0.0
20190115:1206,252.42,347.19,51.68,34.45,1.72,0.0
20190115:1306,422.33,573.95,39.44,34.3,1.79,0.0
20190115:1406,333.2,457.84,26.19,34.15,1.86,0.0
20190115:1506,119.57,192.54,12.48,33.61,1.93,0.0
20190115:1606,0.0,0.0,0.0,32.71,1.66,0.0
20190115:1706,0.0,0.0,0.0,31.7,0.97,0.0
20190115:1806,0.0,0.0,0.0,30.25,0.41,0.0
20190115:1906,0.0,0.0,0.0,27.69,2.62,0.0
20190115:2006,0.0,0.0,0.0,26.99,2.62,0.0
20190115:2106,0.0,0.0,0.0,26.32,2.48,0.0
20190115:2206,0.0,0.0,0.0,25.85,2.48,0.0
20190115:2306,0.0,0.0,0.0,25.21,2.41,0.0
20190116:0006,0.0,0.0,0.0,24.68,2.14,0.0
20190116:0106,0.0,0.0,0.0,24.02,1.93,0.0
20190116:0206,0.0,0.0,0.0,23.25,1.66,0.0
20190116:0306,0.0,0.0,0.0,22.56,1.52,0.0
20190116:0406,0.0,0.0,0.0,21.77,1.45,0.0
20190116:0506,112.55,166.3,13.11,22.07,1.17,0.0
20190116:0606,207.69,277.12,26.83,25.66,1.31,0.0
20190116:0706,480.41,635.52,40.07,27.64,1.38,0.0
20190116:0806,488.49,664.34,52.28,29.71,0.69,0.0
20190116:0906,642.78,913.71,62.01,31.48,0.41,0.0
20190116:1006,335.29,456.76,66.01,32.92,1.52,0.0
20190116:1106,587.06,805.23,61.72,32.83,2.14,0.0
20190116:1206,382.29,515.62,51.85,32.75,2.21,0.0
20190116:1306,142.88,200.67,39.59,31.75,2.55,0.0
20190116:1406,148.0,207.26,26.32,31.39,1.93,0.0
20190116:1506,88.36,138.32,12.59,31.04,0.97,0.0
20190116:1606,0.0,0.0,0.0,30.59,0.28,0.0
20190116:1706,0.0,0.0,0.0,29.42,0.55,0.0
20190116:1806,0.0,0.0,0.0,27.91,2.14,0.0
20190116:1906,0.0,0.0,0.0,25.76,2.69,0.0
20190116:2006,0.0,0.0,0.0,25.02,2.48,0.0
20190116:2106,0.0,0.0,0.0,24.46,1.93,0.0
20190116:2206,0.0,0.0,0.0,23.93,1.38,0.0
20190116:2306,0.0,0.0,0.0,23.03,0.9,0.0
20190117:0006,0.0,0.0,0.0,23.17,0.41,0.0
20190117:0106,0.0,0.0,0.0,22.81,0.48,0.0
20190117:0206,0.0,0.0,0.0,22.39,0.69,0.0
20190117:0306,0.0,0.0,0.0,21.14,0.97,0.0
20190117:0406,0.0,0.0,0.0,20.48,1.17,0.0
20190117:0506,70.07,104.89,13.06,20.67,1.1,0.0
20190117:0606,156.76,211.22,26.8,23.73,1.52,0.0
20190117:0706,433.35,563.99,40.07,25.99,1.93,0.0
20190117:0806,617.33,825.01,52.32,28.61,2.21,0.0
20190117:0906,706.93,964.21,62.13,30.37,2.48,0.0
20190117:1006,709.64,978.88,66.21,31.54,2.34,0.0
20190117:1106,661.26,905.96,61.93,31.73,2.34,0.0
20190117:1206,625.93,848.32,52.03,31.54,2.34,0.0
20190117:1306,502.76,672.81,39.73,31.99,2.34,0.0
20190117:1406,327.19,443.01,26.44,31.87,2.14,0.0
20190117:1506,118.72,187.35,12.7,31.39,1.86,0.0
20190117:1606,0.0,0.0,0.0,30.5,1.59,0.0
20190117:1706,0.0,0.0,0.0,29.51,1.52,0.0
20190117:1806,0.0,0.0,0.0,28.63,1.38,0.0
20190117:1906,0.0,0.0,0.0,27.43,1.66,0.0
20190117:2006,0.0,0.0,0.0,26.29,1.79,0.0
20190117:2106,0.0,0.0,0.0,25.2,1.93,0.0
20190117:2206,0.0,0.0,0.0,24.15,1.93,0.0
20190117:2306,0.0,0.0,0.0,23.43,1.79,0.0
20190118:0006,0.0,0.0,0.0,22.56,1.72,0.0
20190118:0106,0.0,0.0,0.0,22.1,1.79,0.0
20190118:0206,0.0,0.0,0.0,21.89,1.79,0.0
20190118:0306,0.0,0.0,0.0,21.57,1.93,0.0
20190118:0406,0.0,0.0,0.0,21.62,1.86,0.0
20190118:0506,126.5,187.82,13.01,21.77,1.59,0.0
20190118:0606,330.72,435.63,26.78,25.16,1.24,0.0
20190118:0706,504.04,672.61,40.08,27.99,1.03,0.0
20190118:0806,620.4,857.15,52.38,30.0,0.83,0.0
20190118:0906,706.92,978.67,62.25,31.19,1.93,0.0
20190118:1006,706.04,982.55,66.41,32.44,2.14,0.0
20190118:1106,666.63,925.92,62.14,32.97,2.0,0.0
20190118:1206,483.92,660.83,52.2,33.6,1.79,0.0
20190118:1306,480.49,654.19,39.88,33.85,1.66,0.0
20190118:1406,259.04,355.42,26.57,33.8,1.86,0.0
20190118:1506,107.77,169.9,12.8,33.16,1.79,0.0
20190118:1606,0.0,0.0,0.0,32.34,1.38,0.0
20190118:1706,0.0,0.0,0.0,31.36,1.24,0.0
20190118:1806,0.0,0.0,0.0,30.31,0.41,0.0
20190118:1906,0.0,0.0,0.0,27.65,1.52,0.0
20190118:2006,0.0,0.0,0.0,25.99,1.52,0.0
20190118:2106,0.0,0.0,0.0,24.38,1.52,0.0
20190118:2206,0.0,0.0,0.0,23.22,1.66,0.0
20190118:2306,0.0,0.0,0.0,22.15,1.59,0.0
20190119:0006,0.0,0.0,0.0,21.52,1.59,0.0
20190119:0106,0.0,0.0,0.0,20.81,1.72,0.0
20190119:0206,0.0,0.0,0.0,20.28,1.66,0.0
20190119:0306,0.0,0.0,0.0,19.78,1.66,0.0
20190119:0406,0.0,0.0,0.0,19.39,1.59,0.0
20190119:0506,127.86,188.77,12.97,20.4,1.17,0.0
20190119:0606,336.2,445.61,26.76,24.49,0.34,0.0
20190119:0706,504.77,679.79,40.09,28.08,0.55,0.0
20190119:0806,625.95,866.29,52.44,30.61,0.97,0.0
