Latitude (decimal degrees):	2.303
Longitude (decimal degrees):	32.964
Elevation (m):	1120
Radiation database:	PVGIS-SARAH2


Slope: 4 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190105:1906,0.0,0.0,0.0,26.76,2.83,0.0
20190105:2006,0.0,0.0,0.0,25.98,2.62,0.0
20190105:2106,0.0,0.0,0.0,25.27,2.48,0.0
20190105:2206,0.0,0.0,0.0,24.55,2.34,0.0
20190105:2306,0.0,0.0,0.0,23.76,2.14,0.0
20190106:0006,0.0,0.0,0.0,23.12,1.93,0.0
20190106:0106,0.0,0.0,0.0,22.55,1.72,0.0
20190106:0206,0.0,0.0,0.0,21.83,1.59,0.0
20190106:0306,0.0,0.0,0.0,21.41,1.52,0.0
20190106:0406,0.0,0.0,0.0,20.67,1.45,0.0
20190106:0506,179.1,253.76,15.78,21.18,0.97,0.0
20190106:0606,330.85,432.85,29.29,25.08,1.38,0.0
20190106:0706,549.31,724.15,42.22,27.34,1.93,0.0
20190106:0806,573.49,760.62,53.91,29.58,3.1,0.0
20190106:0906,736.11,998.78,62.62,31.35,3.45,0.0
20190106:1006,752.05,1032.6,65.01,32.65,3.31,0.0
20190106:1106,605.07,822.39,59.53,33.57,3.24,0.0
20190106:1206,608.26,822.7,49.26,34.1,3.38,0.0
20190106:1306,420.83,564.05,36.92,34.21,3.31,0.0
20190106:1406,188.67,262.16,23.69,33.79,3.45,0.0
20190106:1506,73.95,126.31,10.05,32.8,3.17,0.0
20190106:1606,0.0,0.0,0.0,30.86,2.48,0.0
20190106:1706,0.0,0.0,0.0,28.94,2.28,0.0
20190106:1806,0.0,0.0,0.0,27.46,2.21,0.0
20190106:1906,0.0,0.0,0.0,26.47,2.62,0.0
20190106:2006,0.0,0.0,0.0,25.51,2.41,0.0
20190106:2106,0.0,0.0,0.0,24.62,2.07,0.0
20190106:2206,0.0,0.0,0.0,23.58,1.52,0.0
20190106:2306,0.0,0.0,0.0,22.68,1.31,0.0
20190107:0006,0.0,0.0,0.0,22.33,1.52,0.0
20190107:0106,0.0,0.0,0.0,21.92,1.45,0.0
20190107:0206,0.0,0.0,0.0,21.3,1.59,0.0
20190107:0306,0.0,0.0,0.0,20.87,1.59,0.0
20190107:0406,0.0,0.0,0.0,20.09,1.31,0.0
20190107:0506,156.28,220.52,15.7,21.38,0.55,0.0
20190107:0606,360.21,474.82,29.23,24.96,0.62,0.0
20190107:0706,527.44,709.68,42.19,27.35,0.55,0.0
20190107:0806,643.84,884.91,53.91,29.61,1.17,0.0
20190107:0906,702.52,973.93,62.69,30.98,1.79,0.0
20190107:1006,672.74,932.81,65.14,31.98,1.93,0.0
20190107:1106,651.96,897.6,59.69,32.73,2.28,0.0
20190107:1206,113.08,163.81,49.41,33.15,2.48,0.0
20190107:1306,313.89,422.18,37.06,33.1,2.69,0.0
20190107:1406,280.96,383.93,23.81,32.45,3.1,0.0
20190107:1506,73.78,124.54,10.16,31.73,3.31,0.0
20190107:1606,0.0,0.0,0.0,30.42,2.83,0.0
20190107:1706,0.0,0.0,0.0,29.21,2.55,0.0
20190107:1806,0.0,0.0,0.0,27.95,2.0,0.0
20190107:1906,0.0,0.0,0.0,26.43,2.07,0.0
20190107:2006,0.0,0.0,0.0,25.34,1.86,0.0
20190107:2106,0.0,0.0,0.0,24.42,1.93,0.0
20190107:2206,0.0,0.0,0.0,23.92,1.93,0.0
20190107:2306,0.0,0.0,0.0,23.14,1.79,0.0
20190108:0006,0.0,0.0,0.0,22.35,1.59,0.0
20190108:0106,0.0,0.0,0.0,21.59,1.31,0.0
20190108:0206,0.0,0.0,0.0,21.57,1.24,0.0
20190108:0306,0.0,0.0,0.0,21.77,1.31,0.0
20190108:0406,0.0,0.0,0.0,21.64,1.38,0.0
20190108:0506,90.02,129.85,15.63,22.0,1.03,0.0
20190108:0606,367.62,479.51,29.17,24.26,1.31,0.0
20190108:0706,507.74,668.02,42.16,26.23,1.45,0.0
20190108:0806,631.92,860.1,53.92,27.67,1.03,0.0
20190108:0906,680.61,957.85,62.76,29.09,0.55,0.0
20190108:1006,722.85,1033.22,65.28,29.67,0.48,0.0
20190108:1106,687.23,966.14,59.85,29.67,0.69,0.0
20190108:1206,584.73,796.15,49.56,28.36,0.76,0.0
20190108:1306,474.17,630.01,37.19,28.6,1.38,0.0
20190108:1406,295.09,397.65,23.94,28.71,2.21,0.0
20190108:1506,83.75,139.9,10.27,27.73,2.55,0.0
20190108:1606,0.0,0.0,0.0,26.61,2.0,0.0
20190108:1706,0.0,0.0,0.0,25.4,1.72,0.0
20190108:1806,0.0,0.0,0.0,24.1,1.38,0.0
20190108:1906,0.0,0.0,0.0,23.3,2.14,0.0
20190108:2006,0.0,0.0,0.0,22.64,2.14,0.0
20190108:2106,0.0,0.0,0.0,22.05,1.93,0.0
20190108:2206,0.0,0.0,0.0,21.52,1.66,0.0
20190108:2306,0.0,0.0,0.0,21.08,1.52,0.0
20190109:0006,0.0,0.0,0.0,20.55,1.59,0.0
20190109:0106,0.0,0.0,0.0,20.28,1.72,0.0
20190109:0206,0.0,0.0,0.0,20.08,1.72,0.0
20190109:0306,0.0,0.0,0.0,19.88,1.72,0.0
20190109:0406,0.0,0.0,0.0,19.67,1.66,0.0
20190109:0506,165.25,233.09,15.56,20.61,1.03,0.0
20190109:0606,380.8,495.27,29.12,23.7,1.38,0.0
20190109:0706,546.59,724.8,42.14,26.14,1.1,0.0
20190109:0806,642.75,884.58,53.94,28.21,0.76,0.0
20190109:0906,704.33,985.33,62.84,29.53,1.03,0.0
20190109:1006,701.65,985.99,65.43,30.14,1.03,0.0
20190109:1106,620.64,866.96,60.01,30.81,0.76,0.0
20190109:1206,577.75,806.56,49.71,31.27,0.34,0.0
20190109:1306,464.4,638.39,37.33,31.39,0.14,0.0
20190109:1406,282.35,390.1,24.06,31.48,0.62,0.0
20190109:1506,87.51,149.74,10.38,31.3,0.76,0.0
20190109:1606,0.0,0.0,0.0,29.74,1.24,0.0
20190109:1706,0.0,0.0,0.0,27.06,0.9,0.0
20190109:1806,0.0,0.0,0.0,26.39,0.76,0.0
20190109:1906,0.0,0.0,0.0,25.38,2.21,0.0
20190109:2006,0.0,0.0,0.0,23.86,2.14,0.0
20190109:2106,0.0,0.0,0.0,22.77,1.86,0.0
20190109:2206,0.0,0.0,0.0,21.45,1.66,0.0
20190109:2306,0.0,0.0,0.0,20.4,1.38,0.0
20190110:0006,0.0,0.0,0.0,19.81,1.31,0.0
20190110:0106,0.0,0.0,0.0,19.34,1.17,0.0
20190110:0206,0.0,0.0,0.0,19.14,1.03,0.0
20190110:0306,0.0,0.0,0.0,18.44,1.17,0.0
20190110:0406,0.0,0.0,0.0,17.88,1.38,0.0
20190110:0506,51.88,80.04,15.49,19.36,1.1,0.0
20190110:0606,237.3,312.2,29.07,24.53,1.45,0.0
20190110:0706,385.14,504.05,42.11,26.88,1.93,0.0
20190110:0806,555.67,737.33,53.96,29.13,2.76,0.0
20190110:0906,734.5,997.87,62.93,30.86,3.17,0.0
20190110:1006,748.53,1028.35,65.58,32.18,3.1,0.0
20190110:1106,516.41,699.23,60.19,33.21,2.9,0.0
20190110:1206,490.25,660.73,49.87,33.96,3.17,0.0
20190110:1306,422.52,566.06,37.47,34.29,3.45,0.0
20190110:1406,248.73,341.23,24.18,33.9,3.79,0.0
20190110:1506,88.92,151.72,10.49,32.84,3.52,0.0
20190110:1606,0.0,0.0,0.0,30.87,3.1,0.0
20190110:1706,0.0,0.0,0.0,29.1,3.31,0.0
20190110:1806,0.0,0.0,0.0,27.91,3.66,0.0
20190110:1906,0.0,0.0,0.0,27.02,3.66,0.0
20190110:2006,0.0,0.0,0.0,26.27,3.72,0.0
20190110:2106,0.0,0.0,0.0,25.48,3.38,0.0
20190110:2206,0.0,0.0,0.0,25.19,2.9,0.0
20190110:2306,0.0,0.0,0.0,24.73,2.28,0.0
20190111:0006,0.0,0.0,0.0,23.72,1.52,0.0
20190111:0106,0.0,0.0,0.0,23.18,1.03,0.0
20190111:0206,0.0,0.0,0.0,23.53,1.17,0.0
20190111:0306,0.0,0.0,0.0,22.4,1.45,0.0
20190111:0406,0.0,0.0,0.0,22.22,1.59,0.0
20190111:0506,167.69,239.63,15.42,22.53,1.52,0.0
20190111:0606,387.27,505.34,29.03,25.15,1.86,0.0
20190111:0706,554.4,727.78,42.1,28.06,2.62,0.0
20190111:0806,676.78,900.28,53.98,30.48,3.86,0.0
20190111:0906,742.12,1004.01,63.02,32.11,4.07,0.0
20190111:1006,740.48,1012.13,65.75,33.29,3.86,0.0
20190111:1106,683.81,930.91,60.36,34.11,3.93,0.0
20190111:1206,598.25,805.89,50.03,34.24,3.86,0.0
20190111:1306,467.56,624.37,37.61,34.26,3.86,0.0
20190111:1406,303.3,414.59,24.31,33.79,4.0,0.0
20190111:1506,89.78,152.49,10.59,32.88,3.86,0.0
20190111:1606,0.0,0.0,0.0,31.04,3.45,0.0
20190111:1706,0.0,0.0,0.0,29.36,3.79,0.0
20190111:1806,0.0,0.0,0.0,28.24,4.07,0.0
20190111:1906,0.0,0.0,0.0,27.1,4.0,0.0
20190111:2006,0.0,0.0,0.0,26.21,4.0,0.0
20190111:2106,0.0,0.0,0.0,25.39,3.72,0.0
20190111:2206,0.0,0.0,0.0,24.64,3.45,0.0
20190111:2306,0.0,0.0,0.0,23.91,3.1,0.0
20190112:0006,0.0,0.0,0.0,23.27,2.9,0.0
20190112:0106,0.0,0.0,0.0,22.7,2.83,0.0
20190112:0206,0.0,0.0,0.0,22.24,2.76,0.0
20190112:0306,0.0,0.0,0.0,21.83,2.69,0.0
20190112:0406,0.0,0.0,0.0,21.47,2.69,0.0
20190112:0506,176.51,251.38,15.36,22.37,2.69,0.0
20190112:0606,397.51,514.71,28.98,25.55,3.24,0.0
20190112:0706,576.95,744.41,42.08,28.3,4.97,0.0
20190112:0806,696.65,914.51,54.01,30.3,5.45,0.0
20190112:0906,758.57,1014.9,63.12,31.84,5.24,0.0
20190112:1006,778.41,1052.73,65.92,32.95,5.03,0.0
20190112:1106,733.78,992.03,60.54,33.67,4.83,0.0
20190112:1206,648.9,869.69,50.19,34.04,4.69,0.0
20190112:1306,500.32,664.16,37.75,33.92,4.62,0.0
20190112:1406,309.26,420.41,24.43,33.35,4.55,0.0
20190112:1506,94.63,159.22,10.7,32.29,4.28,0.0
20190112:1606,0.0,0.0,0.0,30.42,3.52,0.0
20190112:1706,0.0,0.0,0.0,28.74,3.66,0.0
20190112:1806,0.0,0.0,0.0,27.57,3.79,0.0
20190112:1906,0.0,0.0,0.0,26.53,3.52,0.0
20190112:2006,0.0,0.0,0.0,25.53,3.17,0.0
20190112:2106,0.0,0.0,0.0,24.5,2.62,0.0
20190112:2206,0.0,0.0,0.0,23.58,2.28,0.0
20190112:2306,0.0,0.0,0.0,22.73,2.14,0.0
20190113:0006,0.0,0.0,0.0,22.06,2.28,0.0
20190113:0106,0.0,0.0,0.0,21.53,2.28,0.0
20190113:0206,0.0,0.0,0.0,21.09,2.34,0.0
20190113:0306,0.0,0.0,0.0,20.69,2.48,0.0
20190113:0406,0.0,0.0,0.0,20.37,2.55,0.0
20190113:0506,175.43,249.16,15.3,21.24,2.41,0.0
20190113:0606,396.71,512.46,28.94,24.69,2.97,0.0
20190113:0706,575.69,743.16,42.07,27.63,4.41,0.0
20190113:0806,695.62,914.27,54.05,29.88,5.03,0.0
20190113:0906,756.6,1014.66,63.22,31.55,4.83,0.0
20190113:1006,774.94,1052.47,66.09,32.82,4.55,0.0
20190113:1106,730.62,992.77,60.73,33.7,4.34,0.0
20190113:1206,647.12,871.49,50.35,34.11,4.21,0.0
20190113:1306,499.6,665.97,37.89,34.1,4.14,0.0
20190113:1406,311.58,424.58,24.55,33.59,4.14,0.0
20190113:1506,97.15,164.09,10.81,32.55,3.86,0.0
20190113:1606,0.0,0.0,0.0,30.61,3.31,0.0
20190113:1706,0.0,0.0,0.0,28.84,3.59,0.0
20190113:1806,0.0,0.0,0.0,27.66,4.0,0.0
20190113:1906,0.0,0.0,0.0,26.77,4.14,0.0
20190113:2006,0.0,0.0,0.0,25.84,4.0,0.0
20190113:2106,0.0,0.0,0.0,24.88,3.59,0.0
20190113:2206,0.0,0.0,0.0,23.93,3.24,0.0
20190113:2306,0.0,0.0,0.0,23.04,2.9,0.0
20190114:0006,0.0,0.0,0.0,22.35,2.69,0.0
20190114:0106,0.0,0.0,0.0,21.86,2.62,0.0
20190114:0206,0.0,0.0,0.0,21.49,2.55,0.0
20190114:0306,0.0,0.0,0.0,21.18,2.48,0.0
20190114:0406,0.0,0.0,0.0,20.81,2.41,0.0
20190114:0506,106.13,150.97,15.24,21.59,2.14,0.0
20190114:0606,321.49,417.0,28.91,24.8,2.55,0.0
20190114:0706,553.48,720.73,42.07,27.74,3.24,0.0
20190114:0806,673.02,893.22,54.09,30.11,3.86,0.0
20190114:0906,735.99,997.96,63.33,31.85,3.72,0.0
20190114:1006,748.86,1031.46,66.27,33.16,3.31,0.0
20190114:1106,628.19,862.4,60.92,34.18,2.9,0.0
20190114:1206,576.11,785.5,50.52,34.52,2.76,0.0
20190114:1306,324.27,438.37,38.03,33.85,2.34,0.0
20190114:1406,252.73,347.85,24.67,33.45,2.14,0.0
20190114:1506,94.59,160.11,10.91,32.43,1.38,0.0
20190114:1606,0.0,0.0,0.0,31.11,1.31,0.0
20190114:1706,0.0,0.0,0.0,28.9,1.79,0.0
20190114:1806,0.0,0.0,0.0,27.38,2.0,0.0
20190114:1906,0.0,0.0,0.0,26.04,2.07,0.0
20190114:2006,0.0,0.0,0.0,25.01,1.93,0.0
20190114:2106,0.0,0.0,0.0,24.23,1.93,0.0
20190114:2206,0.0,0.0,0.0,23.58,1.72,0.0
20190114:2306,0.0,0.0,0.0,23.02,1.45,0.0
20190115:0006,0.0,0.0,0.0,22.32,1.38,0.0
20190115:0106,0.0,0.0,0.0,21.58,1.24,0.0
20190115:0206,0.0,0.0,0.0,20.98,1.17,0.0
20190115:0306,0.0,0.0,0.0,20.56,1.24,0.0
20190115:0406,0.0,0.0,0.0,20.31,1.38,0.0
20190115:0506,109.23,155.52,15.19,21.17,0.83,0.0
20190115:0606,361.58,473.38,28.88,24.6,1.17,0.0
20190115:0706,538.54,710.79,42.06,26.64,1.52,0.0
20190115:0806,637.45,882.28,54.13,28.79,0.62,0.0
20190115:0906,698.17,992.37,63.45,30.13,0.55,0.0
20190115:1006,722.97,1020.54,66.46,31.12,1.24,0.0
20190115:1106,641.45,884.74,61.11,31.51,1.72,0.0
20190115:1206,609.61,830.51,50.68,31.93,2.0,0.0
20190115:1306,409.74,547.97,38.18,31.98,2.21,0.0
20190115:1406,251.83,344.19,24.79,31.52,1.66,0.0
20190115:1506,50.87,84.59,11.02,30.53,0.76,0.0
20190115:1606,0.0,0.0,0.0,29.3,1.31,0.0
20190115:1706,0.0,0.0,0.0,27.21,2.0,0.0
20190115:1806,0.0,0.0,0.0,25.59,2.0,0.0
20190115:1906,0.0,0.0,0.0,24.16,2.69,0.0
20190115:2006,0.0,0.0,0.0,23.34,2.55,0.0
20190115:2106,0.0,0.0,0.0,23.11,2.14,0.0
20190115:2206,0.0,0.0,0.0,22.88,1.79,0.0
20190115:2306,0.0,0.0,0.0,22.69,1.86,0.0
20190116:0006,0.0,0.0,0.0,22.24,1.93,0.0
20190116:0106,0.0,0.0,0.0,22.02,1.86,0.0
20190116:0206,0.0,0.0,0.0,21.72,1.72,0.0
20190116:0306,0.0,0.0,0.0,21.46,1.66,0.0
20190116:0406,0.0,0.0,0.0,21.32,1.45,0.0
20190116:0506,147.54,211.13,15.14,21.95,1.17,0.0
20190116:0606,356.49,462.52,28.85,24.04,1.86,0.0
20190116:0706,519.32,676.2,42.07,25.46,1.93,0.0
20190116:0806,280.26,371.32,54.18,27.06,1.52,0.0
20190116:0906,116.94,165.8,63.57,28.42,1.1,0.0
20190116:1006,539.71,730.59,66.65,28.3,1.17,0.0
20190116:1106,167.46,229.73,61.31,28.4,1.03,0.0
20190116:1206,116.32,164.8,50.85,27.53,0.34,0.0
20190116:1306,278.64,369.4,38.32,27.85,1.52,0.0
20190116:1406,156.76,212.79,24.92,25.4,1.93,0.0
20190116:1506,50.09,81.37,11.12,24.83,0.9,0.0
20190116:1606,0.0,0.0,0.0,24.43,1.17,0.0
20190116:1706,0.0,0.0,0.0,23.59,1.93,0.0
20190116:1806,0.0,0.0,0.0,22.92,2.14,0.0
20190116:1906,0.0,0.0,0.0,21.82,2.62,0.0
20190116:2006,0.0,0.0,0.0,21.55,2.62,0.0
20190116:2106,0.0,0.0,0.0,21.26,2.41,0.0
20190116:2206,0.0,0.0,0.0,20.97,2.28,0.0
20190116:2306,0.0,0.0,0.0,20.76,2.21,0.0
20190117:0006,0.0,0.0,0.0,20.53,2.07,0.0
20190117:0106,0.0,0.0,0.0,20.44,2.0,0.0
20190117:0206,0.0,0.0,0.0,20.21,1.93,0.0
20190117:0306,0.0,0.0,0.0,20.02,1.79,0.0
20190117:0406,0.0,0.0,0.0,19.85,1.66,0.0
20190117:0506,150.54,213.44,15.09,20.49,2.0,0.0
20190117:0606,373.25,475.83,28.82,22.51,3.38,0.0
20190117:0706,551.35,708.54,42.07,24.51,2.83,0.0
20190117:0806,655.89,867.04,54.23,26.52,2.48,0.0
20190117:0906,647.8,875.67,63.7,27.8,1.79,0.0
20190117:1006,614.63,838.76,66.85,28.68,1.38,0.0
20190117:1106,492.33,665.63,61.51,29.1,1.1,0.0
20190117:1206,503.15,685.39,51.02,29.68,0.62,0.0
20190117:1306,461.56,629.16,38.46,29.98,0.14,0.0
20190117:1406,302.55,412.39,25.04,29.92,0.9,0.0
20190117:1506,96.31,158.73,11.22,29.41,1.17,0.0
20190117:1606,0.0,0.0,0.0,28.31,1.72,0.0
20190117:1706,0.0,0.0,0.0,26.67,2.21,0.0
20190117:1806,0.0,0.0,0.0,25.65,2.28,0.0
20190117:1906,0.0,0.0,0.0,24.86,2.21,0.0
20190117:2006,0.0,0.0,0.0,24.14,1.72,0.0
20190117:2106,0.0,0.0,0.0,23.28,1.24,0.0
20190117:2206,0.0,0.0,0.0,23.01,1.45,0.0
20190117:2306,0.0,0.0,0.0,22.48,1.45,0.0
20190118:0006,0.0,0.0,0.0,22.37,1.17,0.0
20190118:0106,0.0,0.0,0.0,21.89,1.17,0.0
20190118:0206,0.0,0.0,0.0,21.61,1.59,0.0
20190118:0306,0.0,0.0,0.0,21.43,1.86,0.0
20190118:0406,0.0,0.0,0.0,21.4,1.86,0.0
20190118:0506,145.91,208.62,15.04,21.98,1.72,0.0
20190118:0606,363.82,470.02,28.8,23.96,2.41,0.0
20190118:0706,533.38,697.37,42.08,25.0,1.52,0.0
20190118:0806,581.83,788.24,54.29,26.25,0.55,0.0
20190118:0906,703.38,984.27,63.83,27.4,0.55,0.0
20190118:1006,723.68,1007.1,67.06,27.52,0.97,0.0
20190118:1106,548.36,743.91,61.71,28.59,1.1,0.0
20190118:1206,610.46,830.79,51.2,29.16,1.17,0.0
20190118:1306,378.25,501.52,38.6,28.9,1.45,0.0
20190118:1406,302.73,407.35,25.16,28.72,1.66,0.0
20190118:1506,89.52,144.3,11.32,28.02,1.72,0.0
20190118:1606,0.0,0.0,0.0,27.05,0.97,0.0
20190118:1706,0.0,0.0,0.0,25.75,1.79,0.0
20190118:1806,0.0,0.0,0.0,24.69,2.14,0.0
20190118:1906,0.0,0.0,0.0,24.57,1.93,0.0
20190118:2006,0.0,0.0,0.0,23.89,1.86,0.0
20190118:2106,0.0,0.0,0.0,23.29,1.59,0.0
20190118:2206,0.0,0.0,0.0,22.9,1.31,0.0
20190118:2306,0.0,0.0,0.0,22.53,1.45,0.0
20190119:0006,0.0,0.0,0.0,22.2,1.66,0.0
20190119:0106,0.0,0.0,0.0,22.04,1.66,0.0
20190119:0206,0.0,0.0,0.0,21.71,1.79,0.0
20190119:0306,0.0,0.0,0.0,21.49,1.93,0.0
20190119:0406,0.0,0.0,0.0,21.23,1.93,0.0
20190119:0506,134.59,191.77,15.0,21.67,1.72,0.0
20190119:0606,360.3,464.06,28.78,23.5,2.55,0.0
20190119:0706,539.23,701.32,42.09,25.57,2.21,0.0
